"","location","date","cum_covid_deaths_per_100k","cum_excess_deaths_per_100k","iso_code","population","continent"
"1","Albania",2021-09-30,93.911,380.217575482068,"ALB",2872934,"Europe"
"2","Andorra",2020-12-31,108.5917,115.831114098818,"AND",77354,"Europe"
"3","Antigua and Barbuda",2020-12-31,5.0644,-58.5446884369176,"ATG",98728,"North America"
"4","Argentina",2020-12-31,94.8234,91.9799210727981,"ARG",45605823,"South America"
"5","Armenia",2021-10-31,213.1984,549.336147228152,"ARM",2968128,"Asia"
"6","Aruba",2021-09-30,154.858,255.888800783619,"ABW",107195,"North America"
"7","Australia",2021-10-31,6.7589,-5.77783256593505,"AUS",25788217,"Oceania"
"8","Austria",2021-12-12,145.5479,165.140784016759,"AUT",9043072,"Europe"
"9","Azerbaijan",2021-10-31,69.1946,335.461664989459,"AZE",10223344,"Asia"
"10","Barbados",2021-09-30,25.7205,-78.204290461162,"BRB",287708,"North America"
"11","Belarus",2021-03-31,23.7957,331.296628449813,"BLR",9442867,"Europe"
"12","Belgium",2021-12-05,233.5473,164.56800501086,"BEL",11632334,"Europe"
"13","Belize",2020-12-31,61.2474,31.5127866342319,"BLZ",404915,"North America"
"14","Bermuda",2020-12-31,16.1051,24.8019068479031,"BMU",62092,"North America"
"15","Bolivia",2021-09-30,158.3293,406.249133773731,"BOL",11832936,"South America"
"16","Bosnia and Herzegovina",2021-09-30,324.9926,444.828631216142,"BIH",3263459,"Europe"
"17","Brazil",2021-11-30,287.385,328.464039231931,"BRA",213993441,"South America"
"18","Brunei",2020-12-31,0.6795,-3.80493373073752,"BRN",441532,"Asia"
"19","Bulgaria",2021-12-12,428.2656,791.206751678894,"BGR",6896655,"Europe"
"20","Canada",2021-09-12,71.5747,39.5745361717098,"CAN",38067913,"North America"
"21","Chile",2021-12-19,202.2864,206.544619552765,"CHL",19212362,"South America"
"22","Colombia",2021-09-05,244.3693,297.506481947697,"COL",51265841,"South America"
"23","Costa Rica",2020-12-31,42.5176,17.9176980661612,"CRI",5139053,"North America"
"24","Croatia",2021-10-31,225.8887,273.457568825602,"HRV",4081657,"Europe"
"25","Cuba",2020-12-31,1.29,4.37552540322958,"CUB",11317498,"North America"
"26","Cyprus",2021-11-14,65.513,79.4080390176394,"CYP",896005,"Europe"
"27","Czechia",2021-11-07,289.2615,322.1318408329,"CZE",10724553,"Europe"
"28","Denmark",2021-12-12,51.8466,15.4301290385395,"DNK",5813302,"Europe"
"29","Dominican Republic",2020-09-30,19.2172,3.32033500235628,"DOM",10953714,"North America"
"30","Ecuador",2021-12-19,187.7913,377.77230187438,"ECU",17888474,"South America"
"31","Egypt",2021-06-30,15.5086,199.532455570671,"EGY",104258327,"Africa"
"32","El Salvador",2020-08-31,10.9995,72.70077471811,"SLV",6518500,"North America"
"33","Estonia",2021-12-19,142.1685,231.446406094833,"EST",1325188,"Europe"
"34","Faeroe Islands",2021-10-31,4.0772,-174.505127107414,"FRO",49053,"Europe"
"35","Finland",2021-12-12,25.6112,48.0718540123831,"FIN",5548361,"Europe"
"36","France",2021-12-05,177.3813,111.132438957993,"FRA",67422000,"Europe"
"37","French Polynesia",2021-09-30,219.7966,180.650824325568,"PYF",282534,"Oceania"
"38","Georgia",2021-06-30,133.5755,179.482598630625,"GEO",3979773,"Asia"
"39","Germany",2021-12-12,126.0517,97.9465300021975,"DEU",83900471,"Europe"
"40","Gibraltar",2021-01-31,228.5477,60.5502953310973,"GIB",33691,"Europe"
"41","Greece",2021-10-31,153.6823,180.395876979739,"GRC",10370747,"Europe"
"42","Guatemala",2021-09-26,73.2882,215.633888420453,"GTM",18249868,"North America"
"43","Hong Kong",2021-08-31,2.8069,30.6217561698973,"HKG",7552800,"Asia"
"44","Hungary",2021-11-21,340.2475,293.753623823224,"HUN",9634162,"Europe"
"45","Iceland",2021-10-31,8.9481,9.20316868592731,"ISL",368792,"Europe"
"46","Iran",2021-12-26,154.5359,303.695949464628,"IRN",85028760,"Asia"
"47","Ireland",2021-10-31,109.093,37.5925364004605,"IRL",4982904,"Europe"
"48","Israel",2021-12-05,88.3005,77.0175438596491,"ISR",9291000,"Asia"
"49","Italy",2021-10-31,218.8265,250.166848964072,"ITA",60367471,"Europe"
"50","Jamaica",2020-11-30,8.6431,-22.1896227360565,"JAM",2973462,"North America"
